p_id,p_name,address,tags,open_time,open_day,category,price,p_rate,link
f180,김부삼 건대점,"서울 광진구 아차산로33길 40-1 1, 2층 (우)05017",,삼겹살,매일 15:00 ~ 03:00,f,,0/5,https://place.map.kakao.com/278235079#comment
f181,미스터리룸이스케이프 홍대점,서울 마포구 잔다리로 5-1 상아빌딩 5층 (우)04049,방탈출카페,테마카페,매일 10:30 ~ 23:30,f,,0/5,https://place.map.kakao.com/27223158#comment
f182,미친양꼬치,서울 광진구 아차산로33길 16-4 (우)05017,,양꼬치,"월~금 15:00 ~ 03:00
더보기",f,,0/5,https://place.map.kakao.com/568728629#comment
f183,놀숲 강남역점,서울 강남구 강남대로98길 17 2층 (우)06129,,북카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/798713718#comment
f184,놀숲플러스 숙대입구점,서울 용산구 청파로47길 52 명신프라자 지하1층 (우)04309,,북카페,"월,화,수,목,일 10:00 ~ 12:00
더보기",f,,0/5,https://place.map.kakao.com/1260273250#comment
f185,큐브이스케이프 잠실점,서울 송파구 올림픽로8길 10 4층 (우)05556,방탈출 카페,테마카페,"월,화,수,목,일 10:00 ~ 23:20
더보기",f,,0/5,https://place.map.kakao.com/466116790#comment
f186,앨리스룸카페,서울 광진구 동일로22길 107 3층 (우)05017,,테마카페,"월~금 12:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/1964974873#comment
f187,카페온,서울 동대문구 왕산로 276-1 (우)02554,,카페,"매일 12:00 ~ 23:00
더보기",f,,0/5,https://place.map.kakao.com/19034696#comment
f188,벌툰 잠실새내점,서울 송파구 백제고분로7길 27 반석빌딩 3층 (우)05557,,만화카페,매일 10:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/1609818137#comment
f189,휴,서울 서대문구 명물길 6 5층 (우)03777,,카페,매일 11:00 ~ 05:00,f,,0/5,https://place.map.kakao.com/9619284#comment
f1810,하늘유리,서울 영등포구 영등포로 248 (우)07303,룸카페,카페,매일 12:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/12051896#comment
f1811,스미다,서울 금천구 벚꽃로 298 대륭포스트6차 b143호 (우)08510,,카페,"월~토 11:30 ~ 23:30
더보기",f,,0/5,https://place.map.kakao.com/2074600451#comment
f1812,놀숲 송파점,서울 송파구 백제고분로 387 삼현빌딩 지하1층 (우)05626,,북카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/1411337187#comment
f1813,미스터힐링 영등포구청역점,서울 영등포구 당산로28길 2 2층 (우)07259,전동의자 체험 및 체험카페,테마카페,매일 11:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/711467066#comment
f190,큐브이스케이프 천호점,서울 강동구 천호대로157길 22 3층 (우)05335,,테마카페,"월,화,수,목,일 10:15 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/1857201893#comment
f191,벌툰 대학로점,서울 종로구 대학로10길 26 5층 (우)03086,,만화카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/704583232#comment
f192,루미룸카페,서울 마포구 어울마당로 74 6층 (우)04041,,테마카페,,f,,0/5,https://place.map.kakao.com/2038125379#comment
f193,놀숲 신촌점,서울 서대문구 명물길 37 지하1층 (우)03776,,북카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/27333576#comment
f194,사쿠란보,서울 마포구 와우산로29마길 10-3 지층 (우)04053,,디저트카페,,f,,0/5,https://place.map.kakao.com/763702289#comment
f196,힐링앤툰,서울 은평구 진흥로 144 동호스카이 지하 102호 (우)03378,,만화카페,매일 11:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/2047684329#comment
