open_day,link,p_rate,p_name,tags,open_time,category,p_id,address,price
"월~목 10:30 ~ 02:00
더보기",https://place.map.kakao.com/9457517#comment,0/5,코끼리볼링장,,볼링장,a,a31,서울 중구 퇴계로 166 지하1층 (우)04627,
"월~목 10:00 ~ 03:00
더보기",https://place.map.kakao.com/27410769#comment,0/5,동서울 그랜드볼링센터,,볼링장,a,a32,서울 광진구 강변역로 50 6층 (우)05116,
"월~목 12:00 ~ 02:00
더보기",https://place.map.kakao.com/27265440#comment,0/5,천호락볼링클럽 영등포지점,,볼링장,a,a35,서울 영등포구 국회대로36길 17 (우)07257,
연중무휴,https://place.map.kakao.com/8140805#comment,0/5,한숲볼링장,"☆ KBS 2TV 주말드라마 아이가다섯 촬영지 한숲볼링장 !
한숲볼링장, 단체모임환영, 최신시설완비, 주차장완비.

☆ 일반볼링 이용요금
- [평일]시간 : 10:00~17:00 / 금액 : 3,500원
- [평일]시간 : 17:00~21:30 / 금액 : 4,500원
- [휴일(토요일, 공휴일)] 금액 : 5,000원
☆ 락볼링 이용요금
- [평일] 5,000원
- [휴일(토요일, 공휴일)] 5,500원

많은 이용 바랍니다.",볼링장,a,a36,서울 동작구 여의대방로 250 대림쇼핑타운 3층 (우)06943,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/142264707#comment,0/5,스매싱볼 종로점,,볼링장,a,a37,서울 종로구 종로 78 지하1층 (우)03190,
,https://place.map.kakao.com/7846628#comment,0/5,동양볼링센터,,볼링장,a,a38,서울 영등포구 선유로 27 (우)07285,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/2025468225#comment,0/5,어썸라운지볼링장,,볼링장,a,a39,서울 종로구 성균관로 12 유니지오빌딩 지하1층 (우)03074,
매일 00:00 ~ 24:00,https://place.map.kakao.com/13620229#comment,0/5,스타24동네볼링장,,볼링장,a,a310,서울 서초구 서초대로 350 (우)06631,
,https://place.map.kakao.com/11665642#comment,0/5,현대볼링장,,볼링장,a,a311,서울 중랑구 용마산로129나길 6 (우)02068,
"월~목 11:00 ~ 05:00
더보기",https://place.map.kakao.com/1600512473#comment,0/5,홍대볼링장,,볼링장,a,a313,서울 마포구 양화로 156 LG팰리스빌딩 3층 (우)04050,
,https://place.map.kakao.com/22479753#comment,0/5,삼모스포렉스볼링센타,,볼링장,a,a314,서울 관악구 신림로59길 23 (우)08776,
