p_id,u_id,u_rate
b320,hs🌴,5
d211,Lo샷ve,5
c52,김강봉,5
c52,‼️,5
c52,Kong,5
c52,데이지,3
f310,빼앰,5
f310,MAY,5
f310,크크크,5
f2214,다다다,2
f2214,자양주민,1
f2214,믱,1
f2214,안경국,5
a60,하람이,5
a60,신영종,3
a60,초밥좋아요,1
a60,ssoo,1
a60,솔아솔아,4
b329,김장환,5
a69,박영선,5
a69,전설,4
a69,ludo,1
a69,에이맨,1
a69,김건우,1
a69,ssuu,1
a69,seri414,1
g200,Lindsay.Lim.Michaela,5
f2010,B,1
c64,도영상,5
c64,정영옥,5
a56,아하,5
a56,빅토리아,5
f114,괭이,2
f114,희정,1
f114,이원석,1
e32,나며누기,1
e32,ㅋㅋㅋㅋ,1
e32,토리,2
e32,누렁,2
g38,제점수는요,5
g38,현민,3
g238,이오,1
g238,루루,1
g238,소풍,1
b1714,MJay Ko 고 민정,4
e35,상우,1
e35,혁신을 통한 지속성장!!!,5
e35,건담이말을건담,4
e35,always,1
e35,lotkyu,4
a51,Stanislav,5
a51,드미트리,5
a51,양형열,5
f113,여조로,5
c63,얏호,5
c63,민수,5
a104,오성환,1
c97,비얌,5
c97,카페메니아,2
c97,스카이라피스,5
b311,이상목,3
b183,바람과 나,5
b183,나,5
g53,lune,1
f711,Andy,3
f711,엽떡은 신당점,5
c37,이유리,5
f147,nuny,1
f147,이지,4
f147,愼其獨 로봇군단진재민ZINJAEMIN,5
f147,노랑,5
f147,복슬복슬알파카,3
g253,익명의 사람,2
g253,원국,3
b513,유혜빈,5
c1714,hj,3
c1714,옴뇸뇸 :),5
c1714,쥬잉,5
e95,유령작가,5
f178,박시현,5
f178,귤,1
f178,젼,5
g98,김남호,5
g98,ㄹㅇ솔직평가,1
c1713,정윤지,5
b514,열애사진,5
e66,나은,5
f2612,박수민,5
f2612,이해준,5
f2612,김태훈,5
f2612,jk Han,5
e59,익명,1
e59,익명,5
e59,장꼭또,5
e59,박재만,5
b1912,Minhyung,5
f182,A,5
f182,박병연,1
f182,논리와팩트,1
f182,핑슐랭가이드,3
f182,kfc매니아,2
g96,ㄷㄹ,5
a1110,솔,1
b146,t,5
b146,JYK용선생,5
b146,마곡사랑08,5
g62,(율준♡),1
f512,J,4
f512,장현,5
f512,박찬빈,1
f512,막가롱,2
f512,손혜린,5
a34,깅가라미,1
a34,deuxistt!!,2
a34,균면성실,1
a34,김남천,1
a34,제훈,1
f176,냠냠이,3
f176,eww,2
f176,j,2
f176,p,3
f176,냉철하게판단,4
g296,ㅋㅋㅋㅋ,5
b179,지원,5
b179,박병영,5
f149,소영,1
f149,냠냠이,4
f149,민정,5
f149,정인선,1
f149,내삶의술,5
f149,암바사,5
f149,꿀돌순이,5
f149,이경윤,5
f149,정유철,5
f149,미쉘,5
f149,불량주부,5
b1312,김주영,5
a33,아무개,2
f171,ㅇㅇ,5
f171,냉평,3
f171,FRW,2
f171,맛박사,5
f171,옴뇸뇸,5
e57,Jina,1
e57,숮2🍑,4
e57,흥칫,1
e57,임보람,5
e57,ㅇㅅㅇ,1
c1510,라미,5
f185,손,4
f185,도민,4
f185,만두,3
f185,ㄱㅇㅅ,1
e68,.,5
e68,태,1
e68,JkeM,5
e68,와사비까까,5
e68,랍스얍스,5
g239,허스키,1
g39,.,1
g39,아스라,5
g39,맛도사,1
g206,이름입력,4
b122,Marcellina,5
b310,현지훈,4
b310,ssong,5
b310,하루글라라,5
b310,인서아빠,5
b310,ㆍ,4
e34,폴인럽,5
e34,완사,5
e34,김동현,5
e34,방랑식객,5
e34,크림픽시,5
e34,장현,4
e34,.,2
e34,J,2
e34,드라프,5
e34,드라프,5
e34,kk345,5
c62,정무진,1
c62,봉쥬르,4
c62,Jason (양재훈),5
c62,이반,1
c62,전정우,1
a105,이상훈,1
a50,하람이,5
a50,신영종,3
a50,초밥좋아요,1
a50,ssoo,1
a50,솔아솔아,4
f112,🙂,5
a57,원 호,4
a57,레오폴드,1
a57,김형규,1
a57,용가리,1
a57,정성영 Paul,3
a57,여기별로,1
a57,zzzz,5
a57,두바쿠,5
a102,이상훈,1
f2011,김예림,3
f2011,희,5
e33,이딴곳때문에로그인함,1
g201,정성수,5
c1110,해진,5
c1110,호로록,5
c1110,ㅇㅅㅇ,5
c1110,.,5
c1110,시나비바,1
c91,미니,5
b910,왕谕远,5
g37,기무지노상,2
g37,김태수,5
d210,박진우,4
