p_id,u_id,u_rate
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
b10,복슬복슬알파카,4.0
b10,Benjamin,4.0
b10,MJay Ko 고 민정,4.0
c512,박서완,1.0
c512,카르르르,1.0
c512,백주,5.0
c512,🕵🏻‍♀️,5.0
c512,김태운,5.0
c176,고도리,1.0
c176,아리,3.0
c182,zzalex,1.0
c182,해정,1.0
c182,heybiblelee,1.0
c182,J.H,2.0
c182,MJay Ko 고 민정,3.0
e611,복슬복슬알파카,2.0
g146,강병권,3.0
c149,박지현,5.0
c149,matzipchaza,5.0
c149,구글맵,5.0
g317,나모,1.0
f17,.,5.0
f17,#,5.0
f231,도꼬,1.0
f231,안수민,5.0
f231,rlflqh,5.0
f231,츠츠3,5.0
f231,아르카타,5.0
g1510,.,1.0
g1510,달군,1.0
a810,Aiden,1.0
b74,김예리,5.0
f10,박진우,3.0
d22,yuta,2.0
c112,jh,4.0
c112,이혜진,1.0
c112,소우주,5.0
c112,뿅뿅,1.0
e211,손,4.0
e211,도민,4.0
e211,만두,3.0
e211,ㄱㅇㅅ,1.0
b80,Benjamin,4.0
f19,시영,5.0
f19,도서관,5.0
f19,도리,4.0
f19,kR,1.0
f1912,ㅇㅈ,5.0
f1912,Sad,1.0
f1912,..,1.0
f1912,.,1.0
f26,지영지,4.0
f26,쑤,5.0
f26,최송현,5.0
f26,감동하면 리뷰씀,5.0
f26,이진국,5.0
f26,K.G,5.0
f26,jsking,5.0
f26,정하연,4.0
f26,유창현,1.0
f26,☆홍염☆,1.0
f26,김재명,5.0
f26,JiN,5.0
f26,정자영,5.0
b42,2020년 화이팅!,5.0
b42,건우,5.0
f200,장은영,5.0
f200,임다은,5.0
f200,강 예동,5.0
f200,.,1.0
f200,콩이,2.0
g114,롤,5.0
g910,저 푸른 초원펭귄,5.0
e811,이승재,5.0
f238,하영,5.0
f238,깨끗한 물티슈,5.0
f238,.,5.0
f238,sSsay,5.0
f238,박현수,5.0
f238,송혁범,5.0
f238,하늘정원,5.0
f238,연주니,5.0
f238,젤리젤로,5.0
f238,Jasmine,5.0
f238,김원영,5.0
g113,신정민 비오,5.0
b45,러시아숲,1.0
f207,강연부,1.0
f207,하연,1.0
f207,잉왜또화내요,1.0
f207,딸기크림라떼,1.0
f207,노량진,1.0
f207,돌발소년,1.0
a210,오성환,1.0
a210,꾸웩,1.0
a210,신혜철,1.0
a210,your love is good to,1.0
a210,JUPITER,5.0
c123,인간은무엇으로사는가,5.0
d13,햄,1.0
d13,조현성,5.0
f21,이희원,1.0
f21,N지도피난민,5.0
f21,정예빈,5.0
b263,리커버리,5.0
f81,동휘맘,5.0
c183,공주,5.0
c183,밍,5.0
e610,ㅇㅇ,5.0
e610,냠냠냠,5.0
e610,wo,5.0
e610,ㅇㄷㅊ,1.0
f1714,빵이조앙,5.0
f1714,vous,3.0
f1714,1,2.0
f1714,^-^,5.0
f1714,용드래곤,5.0
c513,테이,5.0
c513,와인,5.0
f253,김수민,1.0
f253,...,1.0
b11,탱탱,5.0
b11,태영,5.0
b11,웨인(kojjab),5.0
b11,양지연,3.0
b11,이영묵,4.0
b11,백여 종군,3.0
b11,석탄이아빠,5.0
b11,에이프릴,4.0
b11,소심한 물고기들,5.0
b11,볼륨매직,5.0
a412,Charming-Park,1.0
f75,DALDREAM,4.0
c170,프로혼밥러,1.0
c170,영인이,5.0
c170,호모루덴스,3.0
c170,-,3.0
c170,gmlsql99,1.0
c170,한다영,5.0
c170,♧히데뉨。,1.0
g1111,내일은좋은일이생길거야,4.0
f254,현선,2.0
f254,맛맛맛,2.0
f254,SSun.,4.0
b16,KITT,3.0
b16,wo,5.0
b16,롬,4.0
b16,ㅌㅇ,5.0
b16,크로스~^^,5.0
b16,박진우,5.0
b16,빠우,5.0
b16,ㅎㅅㅇ,4.0
b16,찌릿,1.0
b16,👀,4.0
b16,고독한 탐식가,3.0
b16,석우,5.0
b16,미락여행,5.0
b16,MJay Ko 고 민정,3.0
b16,김인규,3.0
b16,Charlie Jin,5.0
c514,규규,5.0
c514,Rsoe,1.0
f1713,재이,4.0
f1713,존맛탱구리,4.0
f1713,Ms. Ssong,3.0
f1713,추운 베니,3.0
f1713,SSun.,4.0
g140,Patrick,1.0
c184,신논현 네일한 나,5.0
c184,JL,1.0
b2010,박광해,5.0
b29,Trusta,3.0
b29,-----,5.0
b29,규빈,1.0
b29,marumongi,4.0
b29,ㅎ,1.0
b29,리커버리,5.0
b29,정기오,3.0
b29,최예나,5.0
b29,김석영,5.0
b29,김상동,3.0
b29,복슬복슬알파카,4.0
b29,MANGo,5.0
g1912,혜진,1.0
b20,쥴리,3.0
b20,유연우,5.0
b20,최규원,5.0
b20,jiaobaba,3.0
b20,오전필,5.0
b20,서슐랭,5.0
b20,개진철,5.0
b20,하성희,5.0
b20,김정심,4.0
b20,김재기(석수),5.0
b20,조남범(효천),5.0
b20,du_ub11,5.0
b20,윤정,5.0
b20,Kai,5.0
b20,ㅎㅅㅇ,2.0
b20,종워니(JW),5.0
b20,장경순,5.0
b20,또또맘,4.0
b20,김정민,5.0
b20,🙂,5.0
b20,진실된 암행어사,5.0
b20,이창희,5.0
b20,윤선화,4.0
b20,미락여행,4.0
b20,웨인(kojjab),5.0
b20,진실된 암행어사,5.0
b20,이창희,5.0
b20,윤선화,4.0
b20,미락여행,4.0
b20,웨인(kojjab),5.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,Choi Dong Sik,4.0
b20,pH,4.0
b20,黃芝麻 황참깨,4.0
b20,오대석,5.0
b20,이근만,4.0
b20,박민지,3.0
b20,설문규,5.0
b20,김귀성,4.0
b20,전주희,3.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,Choi Dong Sik,4.0
b20,pH,4.0
b20,黃芝麻 황참깨,4.0
b20,오대석,5.0
b20,이근만,4.0
b20,박민지,3.0
b20,설문규,5.0
b20,김귀성,4.0
b20,전주희,3.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,Choi Dong Sik,4.0
b20,pH,4.0
b20,黃芝麻 황참깨,4.0
b20,오대석,5.0
b20,이근만,4.0
b20,박민지,3.0
b20,설문규,5.0
b20,김귀성,4.0
b20,전주희,3.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,Choi Dong Sik,4.0
b20,pH,4.0
b20,黃芝麻 황참깨,4.0
b20,오대석,5.0
b20,이근만,4.0
b20,박민지,3.0
b20,설문규,5.0
b20,김귀성,4.0
b20,전주희,3.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
b20,Choi Dong Sik,4.0
b20,pH,4.0
b20,黃芝麻 황참깨,4.0
b20,오대석,5.0
b20,이근만,4.0
b20,박민지,3.0
b20,설문규,5.0
b20,김귀성,4.0
b20,전주희,3.0
b20,sbchoi,5.0
b20,밍터,4.0
b20,Sangmo,3.0
b20,KB이근미,4.0
b20,최홍기,4.0
f262,건담이말을건담,5.0
f262,신이나,4.0
f262,강승은,4.0
f262,구름,4.0
f262,손오공,3.0
c710,멋진Joe,5.0
c710,멋진Joe,5.0
g182,재맹,1.0
a611,제야,1.0
a611,원 호,4.0
a611,레오폴드,1.0
a611,김형규,1.0
a611,용가리,1.0
a611,윤찬우,1.0
a611,여기별로,1.0
a611,zzzz,5.0
a611,두바쿠,5.0
e413,☘,5.0
e413,송명엽,5.0
e413,김근수,1.0
e413,나,1.0
e413,정재원,1.0
c179,ㅇㅎ,3.0
c179,서동현,2.0
c179,LJ,5.0
c179,Begbie,1.0
c179,elly,2.0
f1510,영효닝~♥,5.0
f1510,VEnomonEY,2.0
e414,또롱또로롱,5.0
f43,차의현,5.0
f43,출발,5.0
f43,수민,5.0
f43,별밤,5.0
g185,송영철,5.0
g185,돌아다님,4.0
b27,농노3,5.0
b27,박인우,1.0
b27,wow,5.0
b27,건우,3.0
