name,location,category,tags,reviews,review_link,id
서소문역사공원,중구,1.0,#관광지,61.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d7987806-Reviews-Seosomun_Park-Seoul.html,61
강남,강남구,1.0,#가족과함께#강남#강남관광정보센터#강남구#강남맛집#강남스타일,,,62
아차산봉수대터,중랑구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,63.csv,,63
국립서울현충원,동작구,1.0,#가족여행#관광지#교과서속여행#국립서울현충원#근대문화유산#당일치기여행,64.csv,,64
보신각 터,종로구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#보신각터#서울근교여행,65.csv,,65
북촌 8경,종로구,1.0,#감성사진#경치좋은곳#관광지#근대한옥#데이트장소추천#북촌8경#사진찍기좋은곳,66.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d7353795-Reviews-Bukchon_Observatory-Seoul.html,66
상허이태준가옥(수연산방),성북구,1.0,#관광지#문화재#상허이태준가옥#수도권#수연산방#역사#역사공부,,,67
서울 정동교회,중구,1.0,#관광지#교과서속여행#나홀로여행#도심여행#서울정동교회#역사#역사공부,68.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d3805561-Reviews-Chungdong_Church-Seoul.html,68
보성사터,종로구,1.0,#관광지#교과서속여행#근린공원#보성사터#산책하기좋은곳#수도권,,,69
광장시장 한복문화 체험관,종로구,1.0,#관광지,,,70
150년 수령 느티나무,양천구,1.0,#관광지,,,71
독립관,서대문구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,72
스파 도향,강남구,1.0,#가족과함께#건강한힐링여행#관광지#남녀노소#데이트하기좋은곳#부모님과함께,,,73
북촌한옥마을,종로구,1.0,#가족여행#관광지#나홀로여행#당일치기여행#데이트코스#도심여행,74.csv,,74
성락원(서울),성북구,1.0,#가족과함께#관광지#아이와함께#역사#역사공부#역사를품은곳#역사문화재,,,75
창덕궁과 후원 [유네스코 세계문화유산],종로구,1.0,#19_20한국관광100선#관광지#데이트코스#수도권#역사#역사공부,76.csv,,76
올리바인 스파,종로구,1.0,#건강여행#관광지#부모님과함께#뷰티&스파온천&스파#연인과함께#올리바인스파,,,77
남산 케이블카,중구,1.0,#경치좋은곳#관광지#남산서울타워#남산케이블카#데이트코스#등산,78.csv,,78
동대문디자인플라자(DDP),중구,1.0,#19_20한국관광100선#DDP#관광지#동대문디자인플라자#복합문화공간,79.csv,,79
서울 동대문 닭한마리 골목,종로구,1.0,#관광지#동대문닭한마리골목#동대문닭한마리골목#수도권#숨은맛집,,,80
절두산 순교성지,마포구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,81.csv,,81
63스퀘어,영등포구,1.0,#63스퀘어#가족과함께#관광지#데이트코스#복합문화공간#서울가볼만한곳,82.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d554551-Reviews-63_City-Seoul.html,82
명동관광정보센터,중구,1.0,#관광정보#관광지#관광코스정보#교통정보#국내여행정보#맛집정보,83.csv,,83
관음사(서울),관악구,1.0,#관광지#불교문화#사찰여행#역사#역사속으로#역사이야기#자연좋은곳,84.csv,,84
양천향교,강서구,1.0,#관광지#역사#역사공부#역사관광#역사관광지#역사를품은곳#역사문화,85.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d12657697-Reviews-Yangcheon_Hyanggyo-Seoul.html,85
창의문(자하문),종로구,1.0,#가족여행#관광지#문화재#서울여행#역사#역사공부#역사관광지#역사를품은곳,86.csv,,86
망원정지,마포구,1.0,#관광지#기념물#망원정지#문화재#수도권#역사#역사공부#역사관광지,87.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d15573660-Reviews-Mangwonjeong_Pavilion_Site-Seoul.html,87
옥천암(서울),서대문구,1.0,#관광지#대한불교조계종#불교#사찰#사찰여행#역사#자연속으로#자연좋은곳,,,88
