name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
남미플랜트랩,서울특별시 서초구 방배천로4안길 55 2F,기타 양식,,,11:00 - 21:00,4.0,27,"2020망고플레이트인기맛집,채식메뉴,"
스시타츠,서울특별시 강남구 도산대로28길 18 청림빌딩 1F,정통 일식 / 일반 일식,런치 스시,120000,12:00 - 22:00,4.3,29,"회,2020망고플레이트인기맛집,우니,오마카세,초밥,데이트,발렛가능,"
한신치킨호프,서울특별시 서초구 신반포로23길 30 반원상가,닭 / 오리 요리,,,11:00 - 01:30,4.1,39,"2020망고플레이트인기맛집,양념치킨,치킨,수제비,고속버스터미널,테라스,칼국수,"
DOMA,서울특별시 강남구 논현로26길 41 B1,스테이크 / 바베큐,,,11:00 - 23:00,4.6,65,"EAT딜있는식당,데이트,2020망고플레이트인기맛집,Visa프리미엄할인2배,고깃집,"
이품,서울특별시 서대문구 연희로11길 20,정통 중식 / 일반 중식,군만두,6000,11:00 - 21:20,4.1,80,"강북,짬뽕,Jjamppong,2017 인기,배달,탕수육,화교,중식,2018 인기,Yeonhui-dong,"
아티제,서울특별시 강동구 상일로6길 26,카페 / 디저트,,,07:00 - 20:00,,0,
참조은순대국전문점,서울특별시 구로구 구로중앙로 43,탕 / 찌개 / 전골,,,,,1,
올라아보,서울특별시 동작구 사당로 300 이수자이 116호,남미 음식,,,,4.2,41,"멕시칸,2020망고플레이트인기맛집,"
유유안,서울특별시 종로구 새문안로 97 포시즌스호텔 서울 11F,정통 중식 / 일반 중식,,,11:30 - 21:30,4.0,31,"2020망고플레이트인기맛집,광화문,정통 중식,Gwanghwamun,호텔 레스토랑,2020미슐랭,콜키지가능,발렛가능,딤섬,"
Le Sud Seoul,서울특별시 송파구 위례성대로12길 18 에이치에스빌딩,카페 / 디저트,,,월,3.7,15,
넝쿨곱창,서울특별시 중랑구 중랑역로 119,고기 요리,,,,,1,
링고,서울특별시 관악구 봉천로 518-4 2F,치킨 / 호프 / 펍,,,일-목: 17:00 - 02:00 금-토: 17:00 - 03:00,3.9,31,"술집추천,수제맥주,"
동춘닭강정,서울특별시 동작구 보라매로3길 29 B1 145-6호,닭 / 오리 요리,,,,,6,
낙지마을,서울특별시 강북구 삼양로29길 11,탕 / 찌개 / 전골,,,11:00 - 22:00,,5,
앤드커피랩,서울특별시 용산구 이태원로54길 82,카페 / 디저트,아메리카노,5000,11:30 - 21:30,4.1,134,"Latte,Hannam-dong,타르트,라떼,카페,2018 인기,콜드브루,한남동,Café,Itaewon,"
반지,서울특별시 성북구 인촌로26길 35 B1,기타 양식,,,,3.7,6,"파스타,"
벤베누토,서울시 성북구 동선동1가 92-20,이탈리안,,,12:00 -  23:00,3.0,13,
