u_id,p_id,rating
29,4646,3
29,2850,3
29,2909,5
29,1675,1
29,9,3
29,2560,5
29,1251,3
29,2233,3
29,612,3
29,2489,3
29,4066,1
29,674,3
29,3233,5
29,1961,3
29,9,5
29,3186,5
29,3501,3
29,17,5
29,3889,5
29,1504,5
29,925,5
29,2897,3
29,154,3
29,616,5
29,4827,5
29,4184,5
29,4946,5
29,1125,1
29,854,1
29,1256,3
29,2433,3
29,606,5
29,2505,3
29,848,5
29,4908,5
29,970,5
29,5264,3
29,2416,5
29,1697,3
29,1399,5
29,948,3
29,4831,3
29,3022,1
29,4662,3
29,4758,5
29,1351,5
29,1699,5
29,4152,3
29,1685,1
29,4728,5
29,624,3
29,1289,5
29,5013,1
29,4758,5
29,2199,5
29,832,5
29,1648,3
29,1685,3
29,1770,5
29,4066,5
29,4915,5
29,183,5
29,1344,3
29,3669,1
29,4364,1
29,3767,3
29,3006,3
29,1582,3
29,2449,5
29,4944,5
29,4758,5
29,745,5
29,2999,5
29,3375,3
29,1724,5
29,1820,3
30,2592,5
30,3526,5
30,362,5
31,2776,5
31,523,5
32,4523,1
33,3934,3
34,1047,5
35,2013,5
35,2523,5
35,4936,5
36,4866,3
36,3497,5
37,4049,1
37,399,5
38,923,5
38,4586,5
38,5374,3
38,823,1
38,588,5
39,3895,3
40,1392,5
41,1070,5
41,4586,5
42,2717,5
42,2468,5
42,1501,1
42,573,3
42,4183,5
42,344,5
42,3816,3
42,513,5
42,4579,5
42,2905,5
42,2489,5
42,3448,3
42,832,5
42,2340,3
42,2292,5
42,945,5
42,2588,5
42,823,5
42,1876,1
42,5026,5
42,3269,3
42,4804,5
42,4870,5
42,4596,1
42,4987,5
42,5335,3
42,2317,5
42,3784,5
42,4936,5
42,5005,5
42,405,3
42,3848,3
42,822,1
42,2434,5
42,4640,5
42,3230,5
42,2913,3
42,3674,3
42,1499,5
42,2013,5
42,754,5
42,5416,3
42,2774,5
42,3705,5
42,4662,5
42,2610,5
42,1030,5
42,4586,5
42,782,5
42,3269,3
42,4870,5
42,3416,5
42,193,5
42,3851,5
42,2611,5
42,2916,1
42,5032,3
42,3292,5
42,4530,1
42,2701,3
42,1662,3
42,2512,5
42,1946,5
42,962,5
42,5,5
42,2580,3
42,4619,5
42,2219,5
42,1030,1
42,4962,5
42,1226,5
42,2231,5
42,1695,5
42,2509,5
42,2651,3
42,1371,5
42,4651,5
42,4361,5
42,920,5
42,4866,5
42,4342,5
42,1422,1
42,3140,5
42,612,5
42,1361,5
42,637,5
42,1771,3
42,3648,5
42,289,5
42,1757,3
42,3053,3
42,802,5
42,420,5
42,4777,3
42,2708,5
42,4884,3
42,1198,3
42,631,5
42,3663,5
42,3311,1
42,971,5
42,1398,5
42,4530,5
42,1398,5
42,3145,5
42,265,5
42,161,5
42,3816,1
42,966,3
42,1371,5
42,2913,5
42,1256,5
42,3470,3
42,3115,5
42,121,5
42,4169,5
42,4925,3
42,1780,5
42,4205,5
42,3401,3
42,1546,5
42,4647,3
42,3378,5
42,3931,5
42,714,1
42,3118,5
42,3415,3
42,714,5
42,3075,1
42,2577,3
42,2383,5
42,1808,5
42,2081,3
42,3394,5
42,1618,5
42,3057,1
42,3461,1
42,2368,3
42,1047,1
42,5195,3
42,2088,5
42,1357,5
42,2088,5
42,4931,5
42,3719,5
42,5276,1
42,130,5
42,1700,3
42,1658,3
42,1666,5
42,5276,5
42,4523,5
42,4804,5
42,1679,5
42,564,3
42,1986,1
42,4804,5
42,1789,1
42,1293,5
42,17,5
42,891,5
42,3423,1
42,3097,1
42,5283,1
42,3736,5
42,2610,3
42,538,3
42,2278,5
42,5122,5
42,9,3
42,4181,5
42,2231,5
42,3382,5
42,2541,5
42,2309,5
42,971,3
42,2577,5
42,4420,1
42,3477,5
42,2347,3
42,4018,5
42,4018,5
42,3477,5
42,899,5
42,5097,5
42,3243,3
42,1895,5
42,5026,5
42,2185,5
42,3855,3
42,4560,3
42,1284,3
42,2541,3
42,1811,5
42,4777,5
42,3912,5
42,3745,5
42,4716,1
42,3487,3
42,4642,1
42,1331,1
42,158,5
42,222,5
43,4018,5
43,2423,5
43,5027,1
43,3651,5
43,867,4
43,2608,1
43,2746,5
43,1593,1
43,5355,3
43,5337,5
43,2841,1
43,1713,4
44,4758,5
44,5389,5
44,3375,5
44,2372,1
45,5384,5
46,3018,3
47,1125,5
47,412,5
47,1675,5
47,1675,5
47,4827,5
48,4586,3
48,1148,1
49,1695,5
50,3238,5
50,3059,3
50,2885,3
50,4283,3
50,168,3
50,1212,1
50,4647,3
50,4981,3
50,3490,5
50,1847,3
50,3315,5
50,4517,5
50,5031,5
50,3430,3
50,1876,5
50,4620,3
50,825,3
50,4484,5
50,4112,3
50,1198,5
50,813,5
50,2827,5
50,3988,3
50,1847,3
50,3988,3
50,1551,5
51,4255,3
51,3136,3
51,5374,5
52,4854,3
52,3277,5
53,3839,5
54,704,5
55,1738,5
55,953,5
55,2576,5
55,2576,5
55,1222,5
55,2637,5
55,5321,5
55,4861,3
55,4843,3
55,1036,5
55,4646,5
55,3705,5
55,1631,1
55,1251,5
55,479,5
55,1360,5
55,1219,5
55,154,5
55,4583,5
55,1771,3
55,5026,5
55,2204,5
55,2768,5
55,4719,5
55,3838,5
55,4758,5
55,1705,5
55,1859,5
55,4758,5
55,463,3
55,1306,1
55,5460,5
55,5264,5
55,3569,5
55,2531,5
55,4886,5
55,4125,5
55,5460,5
55,4855,5
55,959,3
55,987,5
55,2160,5
55,4719,5
56,421,5
57,813,5
58,3487,5
59,2561,5
59,4477,5
59,1496,5
59,4825,5
59,5033,5
59,4274,5
59,4929,5
60,2670,3
60,5011,1
60,1251,5
60,4345,5
60,3701,5
61,3705,5
61,5294,3
61,1112,3
61,1963,5
61,4184,3
61,2446,5
61,3283,3
61,490,5
61,4372,5
62,5035,5
62,4183,5
62,2651,1
63,2546,5
63,4886,5
63,5380,3
63,1712,5
64,3002,1
64,1793,5
64,425,5
64,1226,5
64,2259,5
64,4650,5
64,4143,5
64,1254,3
64,3886,5
64,689,3
64,4995,3
64,4018,5
64,925,3
64,1125,3
64,514,5
64,3964,5
64,4331,5
64,3931,5
64,2340,3
64,2211,5
64,4152,3
64,4613,3
64,5442,5
64,3243,3
64,4944,5
64,3388,3
