group_3,254
group_0,2
group_1,113
group_2,36
group_4,43
group_5,1
group_6,43
group_7,4
group_8,60
group_9,47
group_10,21
group_11,72
group_12,11
group_13,117
group_14,42
group_15,111
group_16,19
group_17,23
group_18,34
group_19,59
group_20,73
group_21,7
group_22,129
group_23,59
group_24,36
group_25,85
group_26,17
group_27,34
group_28,13
group_29,25
group_30,47
group_31,37
group_32,40
group_33,54
group_34,82
group_35,3
group_36,59
group_37,55
group_38,3
group_39,65
group_40,40
group_41,24
group_42,153
group_43,41
group_44,14
group_45,71
group_46,17
group_47,27
group_48,29
group_49,3
group_50,7
group_51,54
group_52,24
group_53,29
group_54,150
group_55,47
group_56,45
group_57,19
group_58,55
group_59,31
group_60,63
group_61,43
group_62,33
group_63,3
group_64,53
group_65,53
group_66,118
group_67,31
group_68,28
group_69,61
group_70,227
group_71,6
group_72,32
group_73,43
group_74,73
group_75,25
group_76,10
group_77,28
group_78,47
group_79,53
group_80,57
group_81,16
group_82,33
group_83,45
group_84,31
group_85,31
group_86,2
group_87,51
group_88,3
group_89,10
group_90,89
group_91,57
group_92,26
group_93,161
group_94,29
group_95,29
group_96,21
group_97,34
group_98,4
group_99,41
group_100,39
group_101,12
group_102,22
group_103,91
group_104,32
group_105,25
group_106,20
group_107,60
group_108,31
group_109,105
group_110,56
group_111,52
group_112,93
group_113,6
group_114,1
group_115,4
group_116,119
group_117,97
group_118,43
group_119,5
