name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
다미,서울특별시 영등포구 여의도동 36-4 오륜빌딩 1층,,연어생선구이,12000,"{'월-금': '오전 11시 30분 - 자정 12시 (14:00-17:00브레이크/공휴일포함)', '휴무일': '매주 토/일 '}",,,"술모임,저녁식사,점심식사,회식,데이트,여자끼리,남자끼리,시끌벅적한,서민적인,캐주얼한,푸짐한,현장대기필요"
송정식당,서울특별시 종로구 종로5가 443,,불꼬지 백반 1인,7000,"{'매일': '오전 8시 - 오후 9시 ', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,혼밥,술모임,식사모임,데이트,혼술,아침식사,서민적인,가성비좋은,지역주민이 찾는,시끌벅적한,푸짐한,조용한,숨은맛집,아담한,무료주차"
미니회바,서울특별시 강동구 성내동 50-19,,회 스페셜,20000,"{'매일': '오후 5시 - 오전 1시 ', '휴무일': '매주 일요일 '}",,,"혼밥,점심식사,술모임,서민적인,깔끔한,조용한,예쁜,아담한,숨은맛집,현장대기필요"
육회말연어,서울특별시 관악구 행운동 851-15,,생연어,17000,{'매일': '오후 4시 30분 - 오전 2시 '},,,"술모임,저녁식사,데이트,시끌벅적한,조용한,캐주얼한,서민적인,배달가능"
안다즈커피,서울특별시 광진구 구의동 75-26,,아인슈패너,5500,{'매일': '오전 10시 - 오후 10시 ((매월 마지막주 월요일 정기휴무))'},,,"차모임,데이트,혼카페,혼자 방문,여자끼리,술모임,친구들끼리,디저트,예쁜,경관/야경이 좋은,시끌벅적한,숨은맛집,캐주얼한,깔끔한,지역주민이찾는,지역주민이 찾는,경관/야경이좋은,서민적인,이국적/이색적,야외좌석,무료주차,애완동물동반"
공음,서울시 은평구 불광동 268-3,,아메리카노,3500,{'매일': '정오 12시 - 오후 10시 (격주 월요일 휴무 )'},,,"혼카페,차모임,간식,조용한,깔끔한,캐주얼한,예쁜,지역주민이 찾는,애완동물동반"
동해해물,서울특별시 광진구 화양동 37-1,,해물찜,,{'매일': '오전 11시 - 오후 10시 30분 ((명절휴무))'},,,"저녁식사,회식,점심식사,술모임,모임,식사모임,가족외식,실버푸드,남자끼리,지역주민이 찾는,시끌벅적한,서민적인,숨은맛집,아담한,가성비좋은,중년이상이많은,깔끔한,조용한,오래된집,좌식"
라 플랑끄,서울특별시 용산구 이태원동 129-9,,오리고기 리예뜨,10000,"{'월-금': '오후 5시 - 오후 10시 ', '토요일': '오전 11시 30분 - 오후 10시 ', '일요일': '오전 11시 30분 - 오후 10시 '}",,,"데이트,저녁식사,점심식사,기념일,식사모임,술모임,여자끼리,모임,접대,이국적/이색적,서민적인,예쁜,캐주얼한,푸짐한,모던한,시끌벅적한,숨은맛집,가성비좋은,아늑한,아담한,authentic,조용한,야외좌석,대형룸"
느티나무설렁탕,서울특별시 중구 신당동 251-131,,설렁탕,9000,"{'매일': '24시간 영업 ', '토요일': '자정 12시 - 오후 8시 ((토 20시~일 8시 휴무))'}",,,"점심식사,저녁식사,데이트,가족외식,혼밥,술모임,식사모임,회식,모임,접대,아침식사,서민적인,푸짐한,숨은맛집,깔끔한,규모가큰,캐주얼한,오래된집,지역주민이 찾는,조용한,시끌벅적한,가성비좋은,토속적인"
우물우물,서울특별시 성북구 성북동 215-1,,우나기동정식,28000,"{'매일': '오전 11시 30분 - 오후 7시 30분 ', '일요일': '정오 12시 - 오후 3시 ', '쉬는시간 매일': '오후 2시 30분 - 오후 6시 ', '휴무일': '매주 월요일 '}",,,"점심식사,혼밥,여자끼리,저녁식사,모임,가족외식,깔끔한,지역주민이 찾는,조용한,이국적/이색적"
강릉엄지네 꼬막집,서울특별시 광진구 구의동 246-14 크레신타워3차 2층,,강릉 엄지네 꼬막 비빔밥,35000,"{'매일': '오전 11시 - 오후 11시 (365 연중무휴, 오후 11시까지 포장가능)'}",,,"점심식사,식사모임,저녁식사,데이트,친구들끼리,가족외식,술모임,서민적인,캐주얼한,푸짐한,시끌벅적한,깔끔한,지역주민이찾는,지역주민이 찾는,무료주차"
성천 막국수,서울시 동대문구 답십리동 33-28,,제육,10000,"{'월-금': '오전 11시 30분 - 오후 9시 ', '쉬는시간 매주 월-금': '오후 3시 - 오후 5시 ', '휴무일': '매주 일요일 (국경일,토요일 정상 영업)'}",,,"점심식사,혼밥,저녁식사,혼술,술모임,가족외식,식사모임,데이트,서민적인,가성비좋은,지역주민이 찾는,시끌벅적한,숨은맛집,푸짐한,지역주민이찾는,깔끔한,무료주차,주차불가,현장대기필요,무료주차30분"
퍼블리코 타코,서울특별시 관악구 봉천동 1626-12,,Carne Asada Taco,9000,"{'매일': '오전 11시 30분 - 오후 11시 ', '휴무일': '매주 월요일 '}",,,"저녁식사,점심식사,데이트,식사모임,친구들끼리,기념일,혼밥,술모임,여자끼리,간식,캐주얼한,예쁜,지역주민이 찾는,시끌벅적한,이국적/이색적,가성비좋은,숨은맛집,아담한 분위기"
