group_74,202
group_0,24
group_1,43
group_2,30
group_3,34
group_4,79
group_5,50
group_6,42
group_7,92
group_8,59
group_9,39
group_10,45
group_11,42
group_12,44
group_13,42
group_14,3
group_15,44
group_16,67
group_17,73
group_18,26
group_19,3
group_20,16
group_21,34
group_22,55
group_23,99
group_24,30
group_25,76
group_26,14
group_27,38
group_28,15
group_29,77
group_30,47
group_31,44
group_32,37
group_33,44
group_34,3
group_35,31
group_36,54
group_37,17
group_38,26
group_39,1
group_40,17
group_41,24
group_42,62
group_43,97
group_44,15
group_45,16
group_46,43
group_47,91
group_48,15
group_49,24
group_50,39
group_51,33
group_52,38
group_53,48
group_54,15
group_55,73
group_56,85
group_57,26
group_58,26
group_59,35
group_60,14
group_61,30
group_62,33
group_63,31
group_64,2
group_65,44
group_66,43
group_67,49
group_68,13
group_69,48
group_70,46
group_71,66
group_72,38
group_73,37
group_75,65
group_76,52
group_77,46
group_78,42
group_79,10
group_80,40
group_81,37
group_82,21
group_83,20
group_84,20
group_85,146
group_86,8
group_87,74
group_88,4
group_89,6
group_90,2
group_91,2
group_92,33
group_93,48
group_94,28
group_95,44
group_96,5
group_97,17
group_98,74
group_99,15
