,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,,,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fantasy,,,,,,,,,,,,,,,white,,red,,,,,,,,,,
21,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stupid,,,,,,,,,,,,,,,wonderful,,present,,,,,,,,,,
22,,,cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bitter,,,,,,,,,,,,,,,empty,,wild,,,,,,,,,,
23,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,understood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harsh,,,,,,,,,,,,,,,time,,fine,,,,,,,,,,
24,,,few,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,todays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dangerous,,,,,,,,,,,,,,,ridiculous,,them,,,,,,,,,,
25,,,visual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sensual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,,,,,,,,,,,,,,,successful,,likely,,,,,,,,,,
26,,,young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,running,,,,,,,,,,,,,,,public,,him,,,,,,,,,,
27,,,attractive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peoples,,,,,,,,,,,,,,,national,,thats,,,,,,,,,,
28,,,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,live,,cheerful,,,,,,,,,,
29,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elementary,,,,,,,,,,,,,,,colorful,,provocative,,,,,,,,,,
30,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expected,,,,,,,,,,,,,,,you,,faithful,,,,,,,,,,
31,,,enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,countless,,,,,,,,,,,,,,,movie,,fantastic,,,,,,,,,,
32,,,strange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfortunate,,,,,,,,,,,,,,,lovely,,else,,,,,,,,,,
33,,,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dull,,,,,,,,,,,,,,,daily,,bright,,,,,,,,,,
34,,,crazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inevitable,,,,,,,,,,,,,,,sick,,sincere,,,,,,,,,,
35,,,heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wide,,,,,,,,,,,,,,,secret,,domestic,,,,,,,,,,
36,,,wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,,,,,,,,,,,,,,,awkward,,unrealistic,,,,,,,,,,
37,,,realistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,,,,,,,,,,,,,,,predictable,,independent,,,,,,,,,,
38,,,deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,,,,,,musical,,movies,,,,,,,,,,
39,,,difficult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rough,,,,,,,,,,,,,,,regrettable,,top,,,,,,,,,,
40,,,sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mental,,,,,,,,,,,,,,,excessive,,unpleasant,,,,,,,,,,
41,,,powerful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject,,,,,,,,,,,,,,,elegant,,surprised,,,,,,,,,,
42,,,natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wellorganized,,,,,,,,,,,,,,,inner,,infinite,,,,,,,,,,
