address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 강남구 강남대로98길 12 (우)06129,,"호프,요리주점",,f2614,https://place.map.kakao.com/1551048877#comment,0/5,f,슈터바61224 강남점,매일 18:00 ~ 02:00
서울 강동구 양재대로85길 78 (우)05406,,카페,,f262,https://place.map.kakao.com/474799651#comment,0/5,f,봉연커피,"매일 10:00 ~ 22:00
더보기"
서울 마포구 잔다리로 9 (우)04049,,칵테일바,,f263,https://place.map.kakao.com/1599460161#comment,0/5,f,퍼플피플,"매일 19:00 ~ 04:00
더보기"
서울 성동구 왕십리광장로 17 5층 에스피-05호 (우)04750,,키즈카페,,f264,https://place.map.kakao.com/1465309940#comment,0/5,f,그레이트피그미풀,
서울 관악구 신림로 107 (우)08813,,고양이카페,,f265,https://place.map.kakao.com/1844267326#comment,0/5,f,고지트,
서울 관악구 봉천로 598 지하 1층 (우)08793,,테마카페,,f267,https://place.map.kakao.com/1039657348#comment,0/5,f,청춘랜드,"화~일 11:40 ~ 23:00
더보기"
서울 마포구 연남로 4-1 흥양빌딩 4층 (우)03989,여행카페 코워킹스페이스 스터디,테마카페,,f268,https://place.map.kakao.com/871145684#comment,0/5,f,썸타는여행,매일 00:00 ~ 24:00 (예약제 운영)
서울 마포구 잔다리로 25 지하1층 (우)04043,,칵테일바,,f269,https://place.map.kakao.com/1557029993#comment,0/5,f,킨더가든,
서울 강남구 언주로172길 59 지하 1층 (우)06018,,보드카페,,f27,https://place.map.kakao.com/1801993399#comment,0/5,f,잭보드카페 압구정점,매일 06:00 ~ 24:00
서울 관악구 남부순환로176길 10 3층 (우)08776,,테마카페,,f270,https://place.map.kakao.com/66829451#comment,0/5,f,반지더하기 신림점,"월~금 13:00 ~ 21:30
더보기"
"서울 서대문구 명물길 41 2, 3층 (우)03776",,중식,,f271,https://place.map.kakao.com/1095101794#comment,0/5,f,풍미각,연중무휴
서울 강서구 화곡로68길 82 강서아이티밸리 1층 111호 (우)07566,,카페,,f2710,https://place.map.kakao.com/53353798#comment,0/5,f,오버도즈커피,"월~금 07:00 ~ 23:00
더보기"
서울 서대문구 이화여대길 59 2층 (우)03766,,카페,,f2711,https://place.map.kakao.com/1626956024#comment,0/5,f,그레이프라운지 이대점,매일 10:00 ~ 23:00
서울 용산구 보광로60길 17 (우)04406,,칵테일바,,f2712,https://place.map.kakao.com/188152126#comment,0/5,f,쉬미쉬미,
서울 종로구 동숭길 127 우성빌딩 3층 (우)03086,,테마카페,,f2714,https://place.map.kakao.com/2109156443#comment,0/5,f,AI이스케이프,
서울 강서구 강서로45가길 47 2층 (우)07705,,커피전문점,,f272,https://place.map.kakao.com/21301572#comment,0/5,f,허니네커피,
