address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 강남구 도곡동 산 32-6,,도시근린공원,,b121,https://place.map.kakao.com/11093596#comment,0/5,b,도곡근린공원,
서울 중구 퇴계로26가길 6 (우)04628,,공원,,b122,https://place.map.kakao.com/1007358682#comment,0/5,b,위안부기억의터,
서울 마포구 창전동 3-249,,도시근린공원,,b126,https://place.map.kakao.com/10623090#comment,0/5,b,와우공원,
서울 강동구 고덕2동 287,,도시근린공원,,b129,https://place.map.kakao.com/10501172#comment,0/5,b,샘터근린공원,
서울 은평구 갈현동,,도시근린공원,,b1213,https://place.map.kakao.com/14935560#comment,0/5,b,연신내 물빛공원,
서울 서대문구 연희동,,도시근린공원,,b1214,https://place.map.kakao.com/11109346#comment,0/5,b,안산공원,
서울 성북구 돈암동,1995년에 개원한 야트막한 산으로 산책하기에 적당한 공원,도시근린공원,,b130,https://place.map.kakao.com/8175566#comment,0/5,b,개운산공원,
서울 서초구 양재2동,,도시근린공원,,b132,https://place.map.kakao.com/14863183#comment,0/5,b,양재천근린공원,
서울 용산구 녹사평대로40다길 33 (우)04351,,공원,,b136,https://place.map.kakao.com/26920172#comment,0/5,b,이태원 부군당역사공원,
서울 강동구 둔촌동 산 125,일자산에 조성된 자연공원,도시근린공원,,b138,https://place.map.kakao.com/8055177#comment,0/5,b,일자산해맞이공원,
서울 노원구 노원로22길 1 (우)01741,,도시근린공원,,b139,https://place.map.kakao.com/17384568#comment,0/5,b,노해근린공원,
서울 관악구 신림동 산 32-24,,도시근린공원,,b1311,https://place.map.kakao.com/8227162#comment,0/5,b,관악산자연공원,
서울 종로구 숭인동 58-70,"주민들이 휴식과 산책, 가벼운 운동을 할 수 있는 자연친화적 공간",도시근린공원,,b1312,https://place.map.kakao.com/10549787#comment,0/5,b,숭인근린공원,
서울 강서구 양천로 177 (우)07520,,공원,,b143,https://place.map.kakao.com/27215132#comment,0/5,b,서남환경공원,
서울 송파구 탄천동로 211 (우)05573,,공원,,b144,https://place.map.kakao.com/11178688#comment,0/5,b,잠실유수지,
서울 서초구 방배중앙로 121 (우)06564,,도시근린공원,,b145,https://place.map.kakao.com/7851866#comment,0/5,b,뒷벌공원,
서울 강서구 마곡동 38-6,,공원,,b146,https://place.map.kakao.com/1443417415#comment,0/5,b,서울식물원 호수공원,
서울 강남구 삼성동 79-1,,공원,,b147,https://place.map.kakao.com/24422617#comment,0/5,b,청담배수지공원,
서울 강남구 삼성동 75,,도시근린공원,,b1411,https://place.map.kakao.com/7902086#comment,0/5,b,봉은역사공원,
서울 구로구 개봉동,,도시근린공원,,b1412,https://place.map.kakao.com/26550417#comment,0/5,b,잣절공원,
서울 서초구 반포1동 720,,도시근린공원,,b1413,https://place.map.kakao.com/7992739#comment,0/5,b,언구비공원,
서울 강서구 금낭화로 176 (우)07508,,도시근린공원,,b150,https://place.map.kakao.com/7888198#comment,0/5,b,방화공원,
서울 서대문구 대현동 146,,도시근린공원,,b151,https://place.map.kakao.com/21998289#comment,0/5,b,대현문화공원,
서울 송파구 잠실동 84,86 아시안게임 개최를 위한 선수촌 및 기자촌 아파트단지 건립시에 조성된 공원,도시근린공원,,b153,https://place.map.kakao.com/7982851#comment,0/5,b,아시아공원,
서울 노원구 한글비석로 346 (우)01715,,도시근린공원,,b155,https://place.map.kakao.com/17951405#comment,0/5,b,삿갓봉 근린공원,
서울 강남구 압구정동,,공원,,b158,https://place.map.kakao.com/17350480#comment,0/5,b,한강시민공원 잠원지구트랙구장,
서울 관악구 대학20길 9 (우)08824,,도시근린공원,,b159,https://place.map.kakao.com/26434833#comment,0/5,b,관악산샘말공원,
서울 강동구 고덕2동 229,,도시근린공원,,b1510,https://place.map.kakao.com/7842205#comment,0/5,b,동명근린공원 고덕제1근린공원,
서울 중구 남대문로4가 29,,도시근린공원,,b1511,https://place.map.kakao.com/17384524#comment,0/5,b,숭례문광장,
서울 서대문구 창천동 4-54,,도시근린공원,,b1514,https://place.map.kakao.com/7880685#comment,0/5,b,바람산어린이공원,
서울 서초구 신반포로 45 (우)06502,,도시근린공원,,b174,https://place.map.kakao.com/8050805#comment,0/5,b,장미공원,
서울 강서구 화곡로 234 (우)07679,,공원,,b175,https://place.map.kakao.com/18203427#comment,0/5,b,꿈돌이공원,
서울 송파구 잠실동,,도시근린공원,,b178,https://place.map.kakao.com/10743990#comment,0/5,b,잠실근린공원,
서울 은평구 신사동 98-5,,도시근린공원,,b179,https://place.map.kakao.com/18384817#comment,0/5,b,신사근린공원,
서울 서초구 우면동 산 34-1,,도시근린공원,,b1714,https://place.map.kakao.com/10705602#comment,0/5,b,우면산자연생태공원,
서울 관악구 봉천동,,도시근린공원,,b183,https://place.map.kakao.com/26585490#comment,0/5,b,강감찬생가터,
서울 강북구 번동 산 20-1,"오동공원은 쉼터와 구민체육관, 인조잔디구장, 테니스장, 황토지압 보도, 산책로 등을 두루 갖추고 구민의 쉼터로 자리 잡아 인근 주택단지에 주거하고 있는 주민들의 휴식과 운동장소로 이용되고 있다.",도시근린공원,,b188,https://place.map.kakao.com/8014188#comment,0/5,b,오동근린공원,
서울 강서구 하늘길 38 (우)07505,공항이용객은 물론 모든 시민을 위한 문화 휴식공간,도시근린공원,,b1810,https://place.map.kakao.com/14652331#comment,0/5,b,롯데몰김포공항 스카이파크,
서울 구로구 고척동,,도시근린공원,,b1811,https://place.map.kakao.com/26287947#comment,0/5,b,덕의근린공원,
서울 성북구 동소문동2가,"서울 백악의 동쪽 골짜기에서 시작돼 삼선교, 돈암동을 거쳐 청계천으로 접어드는 길이 5.08km 물길의 이름은 성북천이다.",도시근린공원,,b193,https://place.map.kakao.com/17628048#comment,0/5,b,성북천 분수광장,
